arrows,bandit,battle-ram-ev1,bomber-ev1,mother-witch,pekka,royal-ghost,void  
arrows,bomber-ev1,goblin-gang,miner,mortar-ev1,prince,skeleton-dragons,skeleton-king  
balloon,lava-hound,mega-minion,skeleton-dragons,tombstone,valkyrie-ev1,void,zap-ev1  
bandit,electro-spirit,pekka,ram-rider,royal-ghost,void,wizard-ev1,zap-ev1  
arrows,elixir-golem,night-witch,rage,skeleton-king,skeletons-ev1,void,wizard-ev1  
bandit,electro-spirit,pekka,ram-rider,royal-ghost,void,wizard-ev1,zap-ev1  
balloon,bowler,freeze,inferno-dragon,knight-ev1,lumberjack,tornado,wizard-ev1  
dart-goblin,goblin-barrel-ev1,goblin-gang,knight-ev1,prince,princess,rascals,the-log  
balloon,guards,inferno-dragon,lava-hound,skeleton-dragons,valkyrie-ev1,void,zap-ev1  
bomb-tower,goblin-drill-ev1,knight,magic-archer,skeletons-ev1,spear-goblins,the-log,tornado  
electro-spirit,fisherman,royal-ghost,royal-giant-ev1,skeletons,the-log,void,wizard-ev1  
goblin-demolisher,goblin-drill-ev1,ice-spirit,knight,poison,skeletons,tesla-ev1,the-log  
electro-spirit,fireball,fisherman,phoenix,royal-ghost,royal-giant-ev1,skeletons-ev1,the-log  
arrows,elixir-golem,night-witch,rage,skeleton-king,skeletons-ev1,void,wizard-ev1  
bomber,fire-spirit,goblin-drill-ev1,guards,poison,tesla-ev1,valkyrie,wall-breakers  
bats-ev1,goblin-gang,inferno-dragon,mega-knight,miner,skeleton-barrel,spear-goblins,zap-ev1  
executioner,goblins,hog-rider,ice-spirit-ev1,rocket,the-log,tornado,valkyrie-ev1  
arrows,firecracker,goblin-gang,goblins,mighty-miner,royal-recruits-ev1,void,wall-breakers-ev1  
baby-dragon,barbarian-barrel,goblin-cage-ev1,graveyard,ice-wizard,knight-ev1,poison,tornado  
archers-ev1,electro-spirit,fireball,knight,skeletons,tesla-ev1,the-log,x-bow  
balloon,inferno-dragon,lava-hound,skeleton-dragons,tombstone,valkyrie-ev1,void,zap-ev1  
arrows,elixir-golem,night-witch,rage,skeleton-king,skeletons-ev1,void,wizard-ev1  
archer-queen,cannon,earthquake,ice-spirit-ev1,royal-delivery,royal-hogs,skeletons-ev1,the-log  
earthquake,firecracker-ev1,hog-rider,ice-spirit,knight-ev1,skeletons,tesla,the-log  
electro-spirit,goblin-barrel,goblin-gang,knight-ev1,princess,rocket,tesla-ev1,the-log  
cannon,fireball,hog-rider,ice-golem,ice-spirit-ev1,musketeer,skeletons-ev1,the-log  
earthquake,firecracker-ev1,hog-rider,ice-spirit,mighty-miner,skeletons,tesla-ev1,the-log  
ice-wizard,knight-ev1,rocket,skeletons,tesla-ev1,the-log,tornado,x-bow  
electro-spirit,fisherman,royal-ghost,royal-giant-ev1,skeletons,the-log,void,wizard-ev1  
goblin-barrel-ev1,goblin-gang,ice-spirit,inferno-tower,knight-ev1,princess,rocket,the-log
